*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.

***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	65nm 1P10M Logic Low Leakage Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-06-15
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
2.560	0.400	3.83E-01	1.38E-01	1.19E-01	1.21E-01	9.39E-03
2.560	0.500	3.46E-01	1.42E-01	1.19E-01	1.00E-01	1.13E-02
2.560	0.800	2.89E-01	1.52E-01	1.19E-01	6.69E-02	1.65E-02
2.560	1.200	2.58E-01	1.64E-01	1.19E-01	4.56E-02	2.24E-02
2.560	1.600	2.44E-01	1.74E-01	1.19E-01	3.37E-02	2.72E-02
2.560	2.000	2.36E-01	1.82E-01	1.19E-01	2.60E-02	3.13E-02
2.560	2.400	2.32E-01	1.89E-01	1.19E-01	2.05E-02	3.46E-02
2.560	2.800	2.29E-01	1.94E-01	1.19E-01	1.65E-02	3.74E-02
------	-------	--------	--------	--------	--------	--------

***********************************************************************
*****             Interconnect Capacitance Table           ************
***********************************************************************

Process: 	65nm 1P10M Logic Low Leakage Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-06-15
Corner:  	Fast
Structure: 	Structure-1 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.420	0.400	2.46E-01	3.31E-02	1.62E-02	1.01E-01	8.47E-03
0.420	0.500	2.13E-01	3.63E-02	1.62E-02	8.33E-02	1.01E-02
0.420	0.800	1.64E-01	4.50E-02	1.62E-02	5.53E-02	1.44E-02
