*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-31
Corner:  	Typical
Structure: 	Structure-1 (Parallel lines above a bottom plate)
(Please refer to SMIC SPICE document for the definition of each capacitance)


***********************
* Layers:	M1-AA *
***********************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.100	1.400	1.14E-01	1.01E-01	1.72E-02	5.35E-03	4.18E-02
0.100	1.600	1.14E-01	1.03E-01	1.72E-02	4.38E-03	4.28E-02
0.100	1.800	1.14E-01	1.04E-01	1.72E-02	3.67E-03	4.36E-02
0.100	2.000	1.14E-01	1.05E-01	1.72E-02	3.13E-03	4.41E-02
0.100	2.500	1.14E-01	1.08E-01	1.72E-02	2.25E-03	4.52E-02
0.100	3.000	1.14E-01	1.09E-01	1.72E-02	1.86E-03	4.57E-02
0.100	4.000	1.14E-01	1.10E-01	1.72E-02	1.33E-03	4.65E-02
0.100	5.000	1.14E-01	1.11E-01	1.72E-02	1.06E-03	4.68E-02
0.100	7.000	1.14E-01	1.12E-01	1.72E-02	8.15E-04	4.72E-02
0.100	10.000	1.14E-01	1.12E-01	1.72E-02	6.96E-04	4.74E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	MT1-FIELD_OXIDE *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.64E-01	1.07E-02	2.70E-03	1.17E-01	4.02E-03
0.400	0.400	2.55E-01	1.09E-02	2.70E-03	1.12E-01	4.11E-03
0.400	0.420	2.46E-01	1.11E-02	2.70E-03	1.08E-01	4.18E-03
0.400	0.440	2.39E-01	1.12E-02	2.70E-03	1.04E-01	4.25E-03
0.400	0.460	2.31E-01	1.14E-02	2.70E-03	1.00E-01	4.33E-03
0.400	0.480	2.25E-01	1.15E-02	2.70E-03	9.68E-02	4.40E-03
0.400	0.500	2.18E-01	1.16E-02	2.70E-03	9.37E-02	4.47E-03
0.400	0.550	2.05E-01	1.20E-02	2.70E-03	8.69E-02	4.65E-03
0.400	0.600	1.93E-01	1.23E-02	2.70E-03	8.12E-02	4.82E-03
0.400	0.650	1.84E-01	1.27E-02	2.70E-03	7.63E-02	4.99E-03
0.400	0.700	1.75E-01	1.30E-02	2.70E-03	7.20E-02	5.13E-03
0.400	0.800	1.62E-01	1.37E-02	2.70E-03	6.51E-02	5.48E-03
0.400	1.000	1.42E-01	1.49E-02	2.70E-03	5.51E-02	6.11E-03
0.400	1.200	1.29E-01	1.61E-02	2.70E-03	4.83E-02	6.70E-03
0.400	1.400	1.19E-01	1.73E-02	2.70E-03	4.32E-02	7.30E-03
0.400	1.600	1.11E-01	1.85E-02	2.70E-03	3.92E-02	7.88E-03
0.400	1.800	1.05E-01	1.96E-02	2.70E-03	3.61E-02	8.45E-03
0.400	2.000	1.01E-01	2.07E-02	2.70E-03	3.35E-02	8.99E-03
0.400	2.500	9.18E-02	2.32E-02	2.70E-03	2.84E-02	1.02E-02
0.400	3.000	8.60E-02	2.56E-02	2.70E-03	2.49E-02	1.15E-02
0.400	4.000	7.85E-02	3.00E-02	2.70E-03	1.99E-02	1.37E-02
0.400	5.000	7.42E-02	3.39E-02	2.70E-03	1.65E-02	1.56E-02
0.400	7.000	6.98E-02	4.01E-02	2.70E-03	1.21E-02	1.87E-02
0.400	10.000	6.70E-02	4.71E-02	2.70E-03	8.22E-03	2.22E-02
------	-------	--------	--------	--------	--------	--------

*******************************************
* Layers:	MT1-POLY (on FIELD OXIDE) *
*******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.65E-01	1.13E-02	2.94E-03	1.17E-01	4.17E-03
0.400	0.400	2.55E-01	1.14E-02	2.94E-03	1.12E-01	4.25E-03
0.400	0.420	2.46E-01	1.16E-02	2.94E-03	1.08E-01	4.33E-03
0.400	0.440	2.38E-01	1.18E-02	2.94E-03	1.04E-01	4.41E-03
0.400	0.460	2.31E-01	1.19E-02	2.94E-03	1.00E-01	4.49E-03
0.400	0.480	2.25E-01	1.21E-02	2.94E-03	9.66E-02	4.56E-03
0.400	0.500	2.18E-01	1.22E-02	2.94E-03	9.36E-02	4.64E-03
0.400	0.550	2.05E-01	1.25E-02	2.94E-03	8.67E-02	4.80E-03
0.400	0.600	1.94E-01	1.29E-02	2.94E-03	8.10E-02	4.99E-03
0.400	0.650	1.84E-01	1.33E-02	2.94E-03	7.62E-02	5.17E-03
0.400	0.700	1.76E-01	1.36E-02	2.94E-03	7.19E-02	5.35E-03
0.400	0.800	1.62E-01	1.44E-02	2.94E-03	6.49E-02	5.71E-03
0.400	1.000	1.42E-01	1.58E-02	2.94E-03	5.49E-02	6.41E-03
0.400	1.200	1.29E-01	1.70E-02	2.94E-03	4.81E-02	7.05E-03
0.400	1.400	1.19E-01	1.83E-02	2.94E-03	4.30E-02	7.71E-03
0.400	1.600	1.11E-01	1.96E-02	2.94E-03	3.90E-02	8.34E-03
0.400	1.800	1.06E-01	2.08E-02	2.94E-03	3.58E-02	8.95E-03
0.400	2.000	1.01E-01	2.20E-02	2.94E-03	3.32E-02	9.54E-03
0.400	2.500	9.23E-02	2.47E-02	2.94E-03	2.81E-02	1.09E-02
0.400	3.000	8.65E-02	2.74E-02	2.94E-03	2.45E-02	1.22E-02
0.400	4.000	7.93E-02	3.20E-02	2.94E-03	1.94E-02	1.46E-02
0.400	5.000	7.52E-02	3.61E-02	2.94E-03	1.60E-02	1.66E-02
0.400	7.000	7.09E-02	4.26E-02	2.94E-03	1.16E-02	1.98E-02
0.400	10.000	6.83E-02	4.96E-02	2.94E-03	7.74E-03	2.33E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M1 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.64E-01	1.21E-02	3.33E-03	1.16E-01	4.38E-03
0.400	0.400	2.55E-01	1.23E-02	3.33E-03	1.12E-01	4.47E-03
0.400	0.420	2.46E-01	1.24E-02	3.33E-03	1.07E-01	4.55E-03
0.400	0.440	2.38E-01	1.26E-02	3.33E-03	1.03E-01	4.64E-03
0.400	0.460	2.31E-01	1.28E-02	3.33E-03	9.98E-02	4.73E-03
0.400	0.480	2.25E-01	1.30E-02	3.33E-03	9.64E-02	4.81E-03
0.400	0.500	2.18E-01	1.31E-02	3.33E-03	9.34E-02	4.90E-03
0.400	0.550	2.05E-01	1.35E-02	3.33E-03	8.66E-02	5.11E-03
0.400	0.600	1.94E-01	1.39E-02	3.33E-03	8.08E-02	5.29E-03
0.400	0.650	1.84E-01	1.43E-02	3.33E-03	7.59E-02	5.50E-03
0.400	0.700	1.76E-01	1.47E-02	3.33E-03	7.17E-02	5.69E-03
0.400	0.800	1.62E-01	1.55E-02	3.33E-03	6.47E-02	6.10E-03
0.400	1.000	1.42E-01	1.71E-02	3.33E-03	5.46E-02	6.87E-03
0.400	1.200	1.29E-01	1.85E-02	3.33E-03	4.77E-02	7.61E-03
0.400	1.400	1.19E-01	2.00E-02	3.33E-03	4.26E-02	8.35E-03
0.400	1.600	1.12E-01	2.14E-02	3.33E-03	3.86E-02	9.06E-03
0.400	1.800	1.06E-01	2.28E-02	3.33E-03	3.54E-02	9.74E-03
0.400	2.000	1.01E-01	2.41E-02	3.33E-03	3.27E-02	1.04E-02
0.400	2.500	9.30E-02	2.71E-02	3.33E-03	2.75E-02	1.19E-02
0.400	3.000	8.73E-02	3.00E-02	3.33E-03	2.38E-02	1.34E-02
0.400	4.000	8.05E-02	3.51E-02	3.33E-03	1.87E-02	1.59E-02
0.400	5.000	7.66E-02	3.95E-02	3.33E-03	1.52E-02	1.81E-02
0.400	7.000	7.27E-02	4.62E-02	3.33E-03	1.08E-02	2.14E-02
0.400	10.000	7.05E-02	5.34E-02	3.33E-03	7.10E-03	2.50E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M2 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.65E-01	1.30E-02	3.77E-03	1.16E-01	4.61E-03
0.400	0.400	2.55E-01	1.32E-02	3.77E-03	1.12E-01	4.71E-03
0.400	0.420	2.46E-01	1.34E-02	3.77E-03	1.07E-01	4.80E-03
0.400	0.440	2.39E-01	1.36E-02	3.77E-03	1.03E-01	4.90E-03
0.400	0.460	2.31E-01	1.38E-02	3.77E-03	9.96E-02	5.00E-03
0.400	0.480	2.25E-01	1.39E-02	3.77E-03	9.63E-02	5.09E-03
0.400	0.500	2.19E-01	1.41E-02	3.77E-03	9.32E-02	5.18E-03
0.400	0.550	2.05E-01	1.46E-02	3.77E-03	8.64E-02	5.42E-03
0.400	0.600	1.94E-01	1.51E-02	3.77E-03	8.06E-02	5.66E-03
0.400	0.650	1.84E-01	1.55E-02	3.77E-03	7.57E-02	5.86E-03
0.400	0.700	1.76E-01	1.60E-02	3.77E-03	7.14E-02	6.10E-03
0.400	0.800	1.62E-01	1.68E-02	3.77E-03	6.44E-02	6.54E-03
0.400	1.000	1.43E-01	1.86E-02	3.77E-03	5.43E-02	7.40E-03
0.400	1.200	1.29E-01	2.03E-02	3.77E-03	4.73E-02	8.24E-03
0.400	1.400	1.20E-01	2.19E-02	3.77E-03	4.21E-02	9.06E-03
0.400	1.600	1.12E-01	2.35E-02	3.77E-03	3.81E-02	9.85E-03
0.400	1.800	1.07E-01	2.50E-02	3.77E-03	3.48E-02	1.06E-02
0.400	2.000	1.02E-01	2.65E-02	3.77E-03	3.21E-02	1.14E-02
0.400	2.500	9.38E-02	2.99E-02	3.77E-03	2.69E-02	1.31E-02
0.400	3.000	8.84E-02	3.30E-02	3.77E-03	2.31E-02	1.46E-02
0.400	4.000	8.19E-02	3.85E-02	3.77E-03	1.79E-02	1.74E-02
0.400	5.000	7.83E-02	4.31E-02	3.77E-03	1.44E-02	1.97E-02
0.400	7.000	7.48E-02	5.01E-02	3.77E-03	1.01E-02	2.31E-02
0.400	10.000	7.29E-02	5.72E-02	3.77E-03	6.48E-03	2.67E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M3 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.65E-01	1.41E-02	4.35E-03	1.16E-01	4.90E-03
0.400	0.400	2.55E-01	1.44E-02	4.35E-03	1.11E-01	5.01E-03
0.400	0.420	2.47E-01	1.46E-02	4.35E-03	1.07E-01	5.12E-03
0.400	0.440	2.39E-01	1.48E-02	4.35E-03	1.03E-01	5.23E-03
0.400	0.460	2.31E-01	1.50E-02	4.35E-03	9.94E-02	5.34E-03
0.400	0.480	2.25E-01	1.52E-02	4.35E-03	9.60E-02	5.43E-03
0.400	0.500	2.19E-01	1.54E-02	4.35E-03	9.29E-02	5.54E-03
0.400	0.550	2.05E-01	1.60E-02	4.35E-03	8.61E-02	5.80E-03
0.400	0.600	1.94E-01	1.65E-02	4.35E-03	8.03E-02	6.07E-03
0.400	0.650	1.84E-01	1.70E-02	4.35E-03	7.54E-02	6.33E-03
0.400	0.700	1.76E-01	1.75E-02	4.35E-03	7.11E-02	6.60E-03
0.400	0.800	1.62E-01	1.86E-02	4.35E-03	6.41E-02	7.11E-03
0.400	1.000	1.43E-01	2.06E-02	4.35E-03	5.39E-02	8.10E-03
0.400	1.200	1.30E-01	2.25E-02	4.35E-03	4.69E-02	9.06E-03
0.400	1.400	1.20E-01	2.43E-02	4.35E-03	4.16E-02	9.98E-03
0.400	1.600	1.13E-01	2.61E-02	4.35E-03	3.75E-02	1.09E-02
0.400	1.800	1.07E-01	2.78E-02	4.35E-03	3.42E-02	1.17E-02
0.400	2.000	1.03E-01	2.95E-02	4.35E-03	3.14E-02	1.26E-02
0.400	2.500	9.51E-02	3.33E-02	4.35E-03	2.61E-02	1.45E-02
0.400	3.000	8.99E-02	3.67E-02	4.35E-03	2.23E-02	1.62E-02
0.400	4.000	8.38E-02	4.27E-02	4.35E-03	1.70E-02	1.92E-02
0.400	5.000	8.06E-02	4.76E-02	4.35E-03	1.35E-02	2.16E-02
0.400	7.000	7.76E-02	5.48E-02	4.35E-03	9.28E-03	2.52E-02
0.400	10.000	7.60E-02	6.19E-02	4.35E-03	5.83E-03	2.88E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M4 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.65E-01	1.57E-02	5.13E-03	1.16E-01	5.26E-03
0.400	0.400	2.55E-01	1.59E-02	5.13E-03	1.11E-01	5.39E-03
0.400	0.420	2.47E-01	1.62E-02	5.13E-03	1.07E-01	5.52E-03
0.400	0.440	2.39E-01	1.64E-02	5.13E-03	1.03E-01	5.65E-03
0.400	0.460	2.32E-01	1.67E-02	5.13E-03	9.90E-02	5.78E-03
0.400	0.480	2.25E-01	1.69E-02	5.13E-03	9.57E-02	5.91E-03
0.400	0.500	2.19E-01	1.72E-02	5.13E-03	9.25E-02	6.03E-03
0.400	0.550	2.06E-01	1.78E-02	5.13E-03	8.57E-02	6.34E-03
0.400	0.600	1.94E-01	1.84E-02	5.13E-03	7.99E-02	6.65E-03
0.400	0.650	1.85E-01	1.91E-02	5.13E-03	7.50E-02	6.97E-03
0.400	0.700	1.76E-01	1.97E-02	5.13E-03	7.07E-02	7.27E-03
0.400	0.800	1.63E-01	2.09E-02	5.13E-03	6.36E-02	7.87E-03
0.400	1.000	1.44E-01	2.32E-02	5.13E-03	5.33E-02	9.04E-03
0.400	1.200	1.31E-01	2.54E-02	5.13E-03	4.62E-02	1.02E-02
0.400	1.400	1.21E-01	2.76E-02	5.13E-03	4.08E-02	1.12E-02
0.400	1.600	1.14E-01	2.96E-02	5.13E-03	3.67E-02	1.22E-02
0.400	1.800	1.09E-01	3.16E-02	5.13E-03	3.33E-02	1.32E-02
0.400	2.000	1.04E-01	3.35E-02	5.13E-03	3.05E-02	1.42E-02
0.400	2.500	9.68E-02	3.78E-02	5.13E-03	2.51E-02	1.63E-02
0.400	3.000	9.20E-02	4.16E-02	5.13E-03	2.12E-02	1.82E-02
0.400	4.000	8.65E-02	4.80E-02	5.13E-03	1.59E-02	2.15E-02
0.400	5.000	8.37E-02	5.32E-02	5.13E-03	1.25E-02	2.40E-02
0.400	7.000	8.11E-02	6.05E-02	5.13E-03	8.35E-03	2.77E-02
0.400	10.000	7.99E-02	6.74E-02	5.13E-03	5.13E-03	3.12E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M5 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.65E-01	1.79E-02	6.27E-03	1.15E-01	5.80E-03
0.400	0.400	2.56E-01	1.82E-02	6.27E-03	1.11E-01	5.96E-03
0.400	0.420	2.47E-01	1.85E-02	6.27E-03	1.06E-01	6.11E-03
0.400	0.440	2.39E-01	1.88E-02	6.27E-03	1.02E-01	6.27E-03
0.400	0.460	2.32E-01	1.91E-02	6.27E-03	9.86E-02	6.42E-03
0.400	0.480	2.26E-01	1.94E-02	6.27E-03	9.52E-02	6.58E-03
0.400	0.500	2.20E-01	1.97E-02	6.27E-03	9.20E-02	6.74E-03
0.400	0.550	2.06E-01	2.05E-02	6.27E-03	8.52E-02	7.11E-03
0.400	0.600	1.95E-01	2.12E-02	6.27E-03	7.94E-02	7.49E-03
0.400	0.650	1.85E-01	2.20E-02	6.27E-03	7.44E-02	7.85E-03
0.400	0.700	1.77E-01	2.27E-02	6.27E-03	7.00E-02	8.22E-03
0.400	0.800	1.64E-01	2.42E-02	6.27E-03	6.29E-02	8.95E-03
0.400	1.000	1.45E-01	2.70E-02	6.27E-03	5.25E-02	1.03E-02
0.400	1.200	1.32E-01	2.96E-02	6.27E-03	4.52E-02	1.17E-02
0.400	1.400	1.23E-01	3.21E-02	6.27E-03	3.98E-02	1.29E-02
0.400	1.600	1.16E-01	3.45E-02	6.27E-03	3.55E-02	1.41E-02
0.400	1.800	1.11E-01	3.68E-02	6.27E-03	3.21E-02	1.53E-02
0.400	2.000	1.07E-01	3.89E-02	6.27E-03	2.92E-02	1.63E-02
0.400	2.500	9.96E-02	4.39E-02	6.27E-03	2.37E-02	1.88E-02
0.400	3.000	9.52E-02	4.80E-02	6.27E-03	1.98E-02	2.09E-02
0.400	4.000	9.04E-02	5.51E-02	6.27E-03	1.46E-02	2.44E-02
0.400	5.000	8.80E-02	6.05E-02	6.27E-03	1.13E-02	2.71E-02
0.400	7.000	8.59E-02	6.78E-02	6.27E-03	7.34E-03	3.08E-02
0.400	10.000	8.50E-02	7.42E-02	6.27E-03	4.46E-03	3.39E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M6 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.66E-01	2.13E-02	8.04E-03	1.15E-01	6.63E-03
0.400	0.400	2.57E-01	2.17E-02	8.04E-03	1.10E-01	6.82E-03
0.400	0.420	2.48E-01	2.21E-02	8.04E-03	1.05E-01	7.03E-03
0.400	0.440	2.40E-01	2.25E-02	8.04E-03	1.01E-01	7.22E-03
0.400	0.460	2.33E-01	2.29E-02	8.04E-03	9.78E-02	7.42E-03
0.400	0.480	2.27E-01	2.33E-02	8.04E-03	9.44E-02	7.61E-03
0.400	0.500	2.20E-01	2.36E-02	8.04E-03	9.12E-02	7.79E-03
0.400	0.550	2.07E-01	2.46E-02	8.04E-03	8.43E-02	8.28E-03
0.400	0.600	1.96E-01	2.56E-02	8.04E-03	7.84E-02	8.76E-03
0.400	0.650	1.87E-01	2.65E-02	8.04E-03	7.34E-02	9.22E-03
0.400	0.700	1.78E-01	2.74E-02	8.04E-03	6.90E-02	9.68E-03
0.400	0.800	1.65E-01	2.92E-02	8.04E-03	6.17E-02	1.06E-02
0.400	1.000	1.47E-01	3.26E-02	8.04E-03	5.12E-02	1.23E-02
0.400	1.200	1.34E-01	3.59E-02	8.04E-03	4.38E-02	1.39E-02
0.400	1.400	1.25E-01	3.90E-02	8.04E-03	3.82E-02	1.55E-02
0.400	1.600	1.19E-01	4.18E-02	8.04E-03	3.39E-02	1.69E-02
0.400	1.800	1.14E-01	4.45E-02	8.04E-03	3.04E-02	1.82E-02
0.400	2.000	1.10E-01	4.70E-02	8.04E-03	2.75E-02	1.95E-02
0.400	2.500	1.04E-01	5.27E-02	8.04E-03	2.20E-02	2.23E-02
0.400	3.000	1.00E-01	5.74E-02	8.04E-03	1.80E-02	2.47E-02
0.400	4.000	9.63E-02	6.49E-02	8.04E-03	1.29E-02	2.84E-02
0.400	5.000	9.44E-02	7.04E-02	8.04E-03	9.82E-03	3.12E-02
0.400	7.000	9.30E-02	7.76E-02	8.04E-03	6.19E-03	3.48E-02
0.400	10.000	9.23E-02	8.34E-02	8.04E-03	3.67E-03	3.77E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M7 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.68E-01	2.74E-02	1.12E-02	1.13E-01	8.08E-03
0.400	0.400	2.58E-01	2.79E-02	1.12E-02	1.09E-01	8.35E-03
0.400	0.420	2.50E-01	2.85E-02	1.12E-02	1.04E-01	8.62E-03
0.400	0.440	2.42E-01	2.90E-02	1.12E-02	1.00E-01	8.88E-03
0.400	0.460	2.35E-01	2.95E-02	1.12E-02	9.63E-02	9.14E-03
0.400	0.480	2.28E-01	3.00E-02	1.12E-02	9.29E-02	9.41E-03
0.400	0.500	2.22E-01	3.06E-02	1.12E-02	8.97E-02	9.67E-03
0.400	0.550	2.09E-01	3.19E-02	1.12E-02	8.26E-02	1.03E-02
0.400	0.600	1.98E-01	3.31E-02	1.12E-02	7.67E-02	1.10E-02
0.400	0.650	1.89E-01	3.44E-02	1.12E-02	7.16E-02	1.16E-02
0.400	0.700	1.81E-01	3.56E-02	1.12E-02	6.71E-02	1.22E-02
0.400	0.800	1.68E-01	3.80E-02	1.12E-02	5.97E-02	1.34E-02
0.400	1.000	1.50E-01	4.25E-02	1.12E-02	4.89E-02	1.56E-02
0.400	1.200	1.39E-01	4.66E-02	1.12E-02	4.13E-02	1.77E-02
0.400	1.400	1.31E-01	5.04E-02	1.12E-02	3.57E-02	1.96E-02
0.400	1.600	1.25E-01	5.39E-02	1.12E-02	3.13E-02	2.13E-02
0.400	1.800	1.21E-01	5.71E-02	1.12E-02	2.78E-02	2.29E-02
0.400	2.000	1.18E-01	6.01E-02	1.12E-02	2.49E-02	2.44E-02
0.400	2.500	1.12E-01	6.65E-02	1.12E-02	1.95E-02	2.77E-02
0.400	3.000	1.09E-01	7.18E-02	1.12E-02	1.57E-02	3.03E-02
0.400	4.000	1.06E-01	7.96E-02	1.12E-02	1.09E-02	3.42E-02
0.400	5.000	1.05E-01	8.50E-02	1.12E-02	8.04E-03	3.69E-02
0.400	7.000	1.04E-01	9.18E-02	1.12E-02	4.93E-03	4.03E-02
0.400	10.000	1.04E-01	9.65E-02	1.12E-02	2.85E-03	4.26E-02
------	-------	--------	--------	--------	--------	--------

************************
* Layers:	MT1-M8 *
************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
0.400	0.380	2.72E-01	4.10E-02	1.86E-02	1.10E-01	1.12E-02
0.400	0.400	2.63E-01	4.18E-02	1.86E-02	1.05E-01	1.16E-02
0.400	0.420	2.55E-01	4.27E-02	1.86E-02	1.01E-01	1.21E-02
0.400	0.440	2.48E-01	4.35E-02	1.86E-02	9.66E-02	1.25E-02
0.400	0.460	2.41E-01	4.43E-02	1.86E-02	9.29E-02	1.29E-02
0.400	0.480	2.34E-01	4.51E-02	1.86E-02	8.93E-02	1.33E-02
0.400	0.500	2.29E-01	4.59E-02	1.86E-02	8.61E-02	1.37E-02
0.400	0.550	2.16E-01	4.77E-02	1.86E-02	7.90E-02	1.46E-02
0.400	0.600	2.05E-01	4.96E-02	1.86E-02	7.29E-02	1.55E-02
0.400	0.650	1.97E-01	5.14E-02	1.86E-02	6.77E-02	1.64E-02
0.400	0.700	1.89E-01	5.32E-02	1.86E-02	6.31E-02	1.73E-02
0.400	0.800	1.77E-01	5.65E-02	1.86E-02	5.56E-02	1.90E-02
0.400	1.000	1.61E-01	6.27E-02	1.86E-02	4.46E-02	2.21E-02
0.400	1.200	1.51E-01	6.82E-02	1.86E-02	3.70E-02	2.48E-02
0.400	1.400	1.44E-01	7.31E-02	1.86E-02	3.14E-02	2.73E-02
0.400	1.600	1.39E-01	7.75E-02	1.86E-02	2.71E-02	2.94E-02
0.400	1.800	1.36E-01	8.14E-02	1.86E-02	2.37E-02	3.14E-02
0.400	2.000	1.34E-01	8.48E-02	1.86E-02	2.10E-02	3.31E-02
0.400	2.500	1.30E-01	9.21E-02	1.86E-02	1.59E-02	3.67E-02
0.400	3.000	1.28E-01	9.76E-02	1.86E-02	1.25E-02	3.95E-02
0.400	4.000	1.26E-01	1.05E-01	1.86E-02	8.40E-03	4.33E-02
0.400	5.000	1.25E-01	1.10E-01	1.86E-02	6.03E-03	4.57E-02
0.400	7.000	1.25E-01	1.16E-01	1.86E-02	3.66E-03	4.85E-02
0.400	10.000	1.25E-01	1.19E-01	1.86E-02	2.19E-03	5.03E-02
------	-------	--------	--------	--------	--------	--------

*********************************
* Layers:	MT2-FIELD_OXIDE *
*********************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
1.500	1.400	2.81E-01	1.76E-02	7.81E-03	1.24E-01	4.89E-03
1.500	1.500	2.67E-01	1.80E-02	7.81E-03	1.17E-01	5.12E-03
1.500	1.600	2.55E-01	1.85E-02	7.81E-03	1.11E-01	5.33E-03
1.500	1.800	2.35E-01	1.94E-02	7.81E-03	1.01E-01	5.78E-03
1.500	2.000	2.18E-01	2.02E-02	7.81E-03	9.24E-02	6.22E-03
1.500	2.500	1.88E-01	2.25E-02	7.81E-03	7.70E-02	7.34E-03
1.500	3.000	1.68E-01	2.47E-02	7.81E-03	6.63E-02	8.44E-03
1.500	3.500	1.53E-01	2.69E-02	7.81E-03	5.84E-02	9.54E-03
1.500	4.000	1.42E-01	2.90E-02	7.81E-03	5.22E-02	1.06E-02
1.500	5.000	1.26E-01	3.31E-02	7.81E-03	4.30E-02	1.27E-02
1.500	6.000	1.16E-01	3.69E-02	7.81E-03	3.64E-02	1.45E-02
1.500	7.000	1.08E-01	4.05E-02	7.81E-03	3.13E-02	1.63E-02
1.500	8.000	1.03E-01	4.38E-02	7.81E-03	2.73E-02	1.80E-02
1.500	9.000	9.93E-02	4.70E-02	7.81E-03	2.41E-02	1.96E-02
1.500	10.000	9.62E-02	4.98E-02	7.81E-03	2.14E-02	2.10E-02
------	-------	--------	--------	--------	--------	--------

*******************************************
* Layers:	MT2-POLY (on FIELD OXIDE) *
*******************************************
Width	Spacing	Ctotal 		Cbottom		  Ca   		 Ccoup 		  Cf   
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
------	-------	--------	--------	--------	--------	--------
1.500	1.400	2.81E-01	1.86E-02	8.34E-03	1.24E-01	5.12E-03
1.500	1.500	2.67E-01	1.90E-02	8.34E-03	1.17E-01	5.34E-03
1.500	1.600	2.55E-01	1.96E-02	8.34E-03	1.11E-01	5.62E-03
1.500	1.800	2.35E-01	2.05E-02	8.34E-03	1.01E-01	6.07E-03
1.500	2.000	2.18E-01	2.14E-02	8.34E-03	9.22E-02	6.54E-03
1.500	2.500	1.89E-01	2.38E-02	8.34E-03	7.67E-02	7.75E-03
1.500	3.000	1.68E-01	2.62E-02	8.34E-03	6.59E-02	8.92E-03
1.500	3.500	1.54E-01	2.85E-02	8.34E-03	5.80E-02	1.01E-02
