*
* No part of this file can be released without the consent of SMIC.
*
*This file contains the interconnect capacitance of parallel lines above a bottom plate.
*Three corners are provided : Typical, Fast and Slow.
***********************************************************
*****  SMIC Interconnect Capacitance Table     ************
***********************************************************

Process: 	65nm Mixed Signal Low Leakage 1P10M(1P9M, 1P8M, 1P7M, 1P6M) Salicide, Triple Voltage (1.2V/1.8/2.5V)
Version: 	1.0
Date: 		2009-09-30
Corner:  	Typical
Structure: 	Structure-2 (Parallel lines between two plates)
(Please refer to SMIC SPICE document for the definition of each capacitance)


**************************
* Layers:	M2-M1-AA *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.50E-01	3.37E-03	3.53E-02	1.31E-03	1.72E-02	1.06E-01	1.03E-03	9.04E-03
0.100	0.100	2.16E-01	3.64E-03	3.83E-02	1.31E-03	1.72E-02	8.69E-02	1.16E-03	1.06E-02
0.100	0.120	1.93E-01	3.90E-03	4.13E-02	1.31E-03	1.72E-02	7.38E-02	1.29E-03	1.20E-02
0.100	0.130	1.84E-01	4.03E-03	4.27E-02	1.31E-03	1.72E-02	6.86E-02	1.36E-03	1.27E-02
0.100	0.150	1.70E-01	4.28E-03	4.54E-02	1.31E-03	1.72E-02	6.02E-02	1.48E-03	1.41E-02
0.100	0.180	1.55E-01	4.64E-03	4.93E-02	1.31E-03	1.72E-02	5.06E-02	1.67E-03	1.60E-02
0.100	0.200	1.48E-01	4.88E-03	5.17E-02	1.31E-03	1.72E-02	4.56E-02	1.78E-03	1.73E-02
0.100	0.250	1.35E-01	5.43E-03	5.72E-02	1.31E-03	1.72E-02	3.63E-02	2.06E-03	2.00E-02
0.100	0.300	1.28E-01	5.94E-03	6.20E-02	1.31E-03	1.72E-02	2.98E-02	2.32E-03	2.24E-02
0.100	0.400	1.19E-01	6.83E-03	6.98E-02	1.31E-03	1.72E-02	2.12E-02	2.76E-03	2.63E-02
0.100	0.500	1.15E-01	7.55E-03	7.56E-02	1.31E-03	1.72E-02	1.59E-02	3.12E-03	2.92E-02
0.100	0.600	1.13E-01	8.13E-03	8.00E-02	1.31E-03	1.72E-02	1.23E-02	3.41E-03	3.14E-02
0.100	0.800	1.11E-01	8.96E-03	8.61E-02	1.31E-03	1.72E-02	7.87E-03	3.83E-03	3.45E-02
0.100	1.000	1.10E-01	9.49E-03	8.97E-02	1.31E-03	1.72E-02	5.35E-03	4.09E-03	3.63E-02
0.100	1.200	1.10E-01	9.85E-03	9.22E-02	1.31E-03	1.72E-02	3.79E-03	4.27E-03	3.75E-02
0.100	1.400	1.09E-01	1.01E-02	9.38E-02	1.31E-03	1.72E-02	2.76E-03	4.40E-03	3.83E-02
0.100	1.600	1.09E-01	1.03E-02	9.49E-02	1.31E-03	1.72E-02	2.09E-03	4.48E-03	3.89E-02
0.100	1.800	1.09E-01	1.04E-02	9.58E-02	1.31E-03	1.72E-02	1.60E-03	4.55E-03	3.93E-02
0.100	2.000	1.09E-01	1.05E-02	9.63E-02	1.31E-03	1.72E-02	1.23E-03	4.59E-03	3.95E-02
0.100	2.500	1.09E-01	1.06E-02	9.72E-02	1.31E-03	1.72E-02	6.96E-04	4.67E-03	4.00E-02
0.100	3.000	1.09E-01	1.07E-02	9.76E-02	1.31E-03	1.72E-02	4.36E-04	4.70E-03	4.02E-02
0.100	4.000	1.09E-01	1.08E-02	9.80E-02	1.31E-03	1.72E-02	1.84E-04	4.74E-03	4.04E-02
0.100	5.000	1.09E-01	1.08E-02	9.82E-02	1.31E-03	1.72E-02	9.31E-05	4.76E-03	4.05E-02
0.100	7.000	1.09E-01	1.08E-02	9.83E-02	1.31E-03	1.72E-02	5.99E-05	4.76E-03	4.05E-02
0.100	10.000	1.09E-01	1.08E-02	9.82E-02	1.31E-03	1.72E-02	1.69E-05	4.76E-03	4.05E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M3-M2 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.50E-01	3.42E-02	3.89E-03	1.72E-02	1.61E-03	1.06E-01	8.50E-03	1.14E-03
0.100	0.100	2.16E-01	3.72E-02	4.21E-03	1.72E-02	1.61E-03	8.71E-02	9.99E-03	1.30E-03
0.100	0.120	1.93E-01	4.00E-02	4.54E-03	1.72E-02	1.61E-03	7.40E-02	1.14E-02	1.46E-03
0.100	0.130	1.84E-01	4.14E-02	4.69E-03	1.72E-02	1.61E-03	6.88E-02	1.21E-02	1.54E-03
0.100	0.150	1.70E-01	4.40E-02	5.01E-03	1.72E-02	1.61E-03	6.03E-02	1.34E-02	1.70E-03
0.100	0.180	1.55E-01	4.76E-02	5.45E-03	1.72E-02	1.61E-03	5.08E-02	1.52E-02	1.92E-03
0.100	0.200	1.47E-01	5.00E-02	5.78E-03	1.72E-02	1.61E-03	4.57E-02	1.64E-02	2.09E-03
0.100	0.250	1.34E-01	5.51E-02	6.47E-03	1.72E-02	1.61E-03	3.64E-02	1.89E-02	2.43E-03
0.100	0.300	1.26E-01	5.95E-02	7.11E-03	1.72E-02	1.61E-03	2.99E-02	2.12E-02	2.75E-03
0.100	0.400	1.18E-01	6.68E-02	8.23E-03	1.72E-02	1.61E-03	2.13E-02	2.48E-02	3.31E-03
0.100	0.500	1.13E-01	7.21E-02	9.14E-03	1.72E-02	1.61E-03	1.60E-02	2.75E-02	3.76E-03
0.100	0.600	1.11E-01	7.64E-02	9.88E-03	1.72E-02	1.61E-03	1.23E-02	2.96E-02	4.13E-03
0.100	0.800	1.09E-01	8.22E-02	1.09E-02	1.72E-02	1.61E-03	7.83E-03	3.25E-02	4.66E-03
0.100	1.000	1.08E-01	8.58E-02	1.16E-02	1.72E-02	1.61E-03	5.22E-03	3.43E-02	5.00E-03
0.100	1.200	1.08E-01	8.82E-02	1.21E-02	1.72E-02	1.61E-03	3.63E-03	3.55E-02	5.23E-03
0.100	1.400	1.07E-01	8.99E-02	1.24E-02	1.72E-02	1.61E-03	2.59E-03	3.63E-02	5.38E-03
0.100	1.600	1.07E-01	9.10E-02	1.26E-02	1.72E-02	1.61E-03	1.88E-03	3.69E-02	5.49E-03
0.100	1.800	1.07E-01	9.18E-02	1.28E-02	1.72E-02	1.61E-03	1.39E-03	3.73E-02	5.57E-03
0.100	2.000	1.07E-01	9.22E-02	1.28E-02	1.72E-02	1.61E-03	1.06E-03	3.75E-02	5.62E-03
0.100	2.500	1.07E-01	9.30E-02	1.30E-02	1.72E-02	1.61E-03	5.75E-04	3.79E-02	5.70E-03
0.100	3.000	1.07E-01	9.35E-02	1.31E-02	1.72E-02	1.61E-03	3.31E-04	3.81E-02	5.74E-03
0.100	4.000	1.07E-01	9.36E-02	1.32E-02	1.72E-02	1.61E-03	1.31E-04	3.82E-02	5.78E-03
0.100	5.000	1.07E-01	9.39E-02	1.32E-02	1.72E-02	1.61E-03	7.31E-05	3.83E-02	5.78E-03
0.100	7.000	1.07E-01	9.39E-02	1.32E-02	1.72E-02	1.61E-03	3.91E-05	3.84E-02	5.79E-03
0.100	10.000	1.07E-01	9.39E-02	1.32E-02	1.72E-02	1.61E-03	1.29E-05	3.83E-02	5.80E-03
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M4-M2 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.43E-01	1.31E-02	5.82E-03	5.02E-03	2.08E-03	1.12E-01	4.06E-03	1.87E-03
0.100	0.100	2.08E-01	1.41E-02	6.25E-03	5.02E-03	2.08E-03	9.37E-02	4.53E-03	2.09E-03
0.100	0.120	1.84E-01	1.50E-02	6.66E-03	5.02E-03	2.08E-03	8.09E-02	4.99E-03	2.29E-03
0.100	0.130	1.74E-01	1.55E-02	6.85E-03	5.02E-03	2.08E-03	7.59E-02	5.22E-03	2.38E-03
0.100	0.150	1.59E-01	1.63E-02	7.24E-03	5.02E-03	2.08E-03	6.76E-02	5.66E-03	2.58E-03
0.100	0.180	1.42E-01	1.76E-02	7.79E-03	5.02E-03	2.08E-03	5.83E-02	6.30E-03	2.86E-03
0.100	0.200	1.34E-01	1.84E-02	8.17E-03	5.02E-03	2.08E-03	5.35E-02	6.71E-03	3.04E-03
0.100	0.250	1.18E-01	2.04E-02	9.05E-03	5.02E-03	2.08E-03	4.44E-02	7.68E-03	3.48E-03
0.100	0.300	1.08E-01	2.22E-02	9.88E-03	5.02E-03	2.08E-03	3.79E-02	8.60E-03	3.90E-03
0.100	0.400	9.54E-02	2.56E-02	1.14E-02	5.02E-03	2.08E-03	2.92E-02	1.03E-02	4.66E-03
0.100	0.500	8.80E-02	2.86E-02	1.28E-02	5.02E-03	2.08E-03	2.33E-02	1.18E-02	5.36E-03
0.100	0.600	8.35E-02	3.13E-02	1.40E-02	5.02E-03	2.08E-03	1.91E-02	1.31E-02	5.98E-03
0.100	0.800	7.85E-02	3.58E-02	1.62E-02	5.02E-03	2.08E-03	1.33E-02	1.54E-02	7.04E-03
0.100	1.000	7.60E-02	3.92E-02	1.78E-02	5.02E-03	2.08E-03	9.49E-03	1.71E-02	7.86E-03
0.100	1.200	7.49E-02	4.19E-02	1.91E-02	5.02E-03	2.08E-03	6.91E-03	1.85E-02	8.51E-03
0.100	1.400	7.42E-02	4.40E-02	2.01E-02	5.02E-03	2.08E-03	5.08E-03	1.95E-02	9.01E-03
0.100	1.600	7.39E-02	4.55E-02	2.09E-02	5.02E-03	2.08E-03	3.77E-03	2.02E-02	9.39E-03
0.100	1.800	7.37E-02	4.66E-02	2.14E-02	5.02E-03	2.08E-03	2.83E-03	2.08E-02	9.66E-03
0.100	2.000	7.35E-02	4.75E-02	2.18E-02	5.02E-03	2.08E-03	2.13E-03	2.12E-02	9.87E-03
0.100	2.500	7.35E-02	4.88E-02	2.25E-02	5.02E-03	2.08E-03	1.09E-03	2.19E-02	1.02E-02
0.100	3.000	7.34E-02	4.94E-02	2.28E-02	5.02E-03	2.08E-03	6.00E-04	2.22E-02	1.04E-02
0.100	4.000	7.34E-02	4.99E-02	2.30E-02	5.02E-03	2.08E-03	2.15E-04	2.24E-02	1.05E-02
0.100	5.000	7.34E-02	5.01E-02	2.31E-02	5.02E-03	2.08E-03	1.01E-04	2.25E-02	1.05E-02
0.100	7.000	7.35E-02	5.02E-02	2.32E-02	5.02E-03	2.08E-03	6.33E-05	2.26E-02	1.05E-02
0.100	10.000	7.34E-02	5.02E-02	2.32E-02	5.02E-03	2.08E-03	1.55E-05	2.26E-02	1.06E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M5-M2 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.43E-01	8.51E-03	8.45E-03	2.94E-03	2.94E-03	1.13E-01	2.79E-03	2.76E-03
0.100	0.100	2.07E-01	9.10E-03	9.05E-03	2.94E-03	2.94E-03	9.45E-02	3.08E-03	3.05E-03
0.100	0.120	1.83E-01	9.67E-03	9.61E-03	2.94E-03	2.94E-03	8.18E-02	3.36E-03	3.34E-03
0.100	0.130	1.73E-01	9.94E-03	9.89E-03	2.94E-03	2.94E-03	7.68E-02	3.50E-03	3.47E-03
0.100	0.150	1.58E-01	1.05E-02	1.04E-02	2.94E-03	2.94E-03	6.85E-02	3.77E-03	3.74E-03
0.100	0.180	1.41E-01	1.12E-02	1.12E-02	2.94E-03	2.94E-03	5.93E-02	4.15E-03	4.13E-03
0.100	0.200	1.33E-01	1.17E-02	1.17E-02	2.94E-03	2.94E-03	5.46E-02	4.40E-03	4.38E-03
0.100	0.250	1.17E-01	1.29E-02	1.29E-02	2.94E-03	2.94E-03	4.55E-02	4.98E-03	4.98E-03
0.100	0.300	1.06E-01	1.40E-02	1.40E-02	2.94E-03	2.94E-03	3.92E-02	5.54E-03	5.55E-03
0.100	0.400	9.33E-02	1.61E-02	1.62E-02	2.94E-03	2.94E-03	3.05E-02	6.56E-03	6.61E-03
0.100	0.500	8.55E-02	1.79E-02	1.80E-02	2.94E-03	2.94E-03	2.48E-02	7.49E-03	7.55E-03
0.100	0.600	8.06E-02	1.96E-02	1.98E-02	2.94E-03	2.94E-03	2.06E-02	8.35E-03	8.43E-03
0.100	0.800	7.49E-02	2.27E-02	2.29E-02	2.94E-03	2.94E-03	1.47E-02	9.86E-03	9.97E-03
0.100	1.000	7.20E-02	2.52E-02	2.54E-02	2.94E-03	2.94E-03	1.07E-02	1.11E-02	1.12E-02
0.100	1.200	7.05E-02	2.71E-02	2.74E-02	2.94E-03	2.94E-03	7.94E-03	1.21E-02	1.22E-02
0.100	1.400	6.96E-02	2.87E-02	2.90E-02	2.94E-03	2.94E-03	5.92E-03	1.29E-02	1.30E-02
0.100	1.600	6.91E-02	3.00E-02	3.03E-02	2.94E-03	2.94E-03	4.44E-03	1.35E-02	1.37E-02
0.100	1.800	6.89E-02	3.09E-02	3.13E-02	2.94E-03	2.94E-03	3.35E-03	1.40E-02	1.42E-02
0.100	2.000	6.87E-02	3.16E-02	3.20E-02	2.94E-03	2.94E-03	2.54E-03	1.43E-02	1.45E-02
0.100	2.500	6.86E-02	3.28E-02	3.32E-02	2.94E-03	2.94E-03	1.31E-03	1.49E-02	1.51E-02
0.100	3.000	6.86E-02	3.34E-02	3.38E-02	2.94E-03	2.94E-03	7.03E-04	1.52E-02	1.54E-02
0.100	4.000	6.85E-02	3.38E-02	3.42E-02	2.94E-03	2.94E-03	2.48E-04	1.54E-02	1.56E-02
0.100	5.000	6.85E-02	3.40E-02	3.44E-02	2.94E-03	2.94E-03	1.09E-04	1.55E-02	1.57E-02
0.100	7.000	6.86E-02	3.40E-02	3.44E-02	2.94E-03	2.94E-03	6.52E-05	1.55E-02	1.57E-02
0.100	10.000	6.85E-02	3.40E-02	3.44E-02	2.94E-03	2.94E-03	1.66E-05	1.55E-02	1.57E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M6-M2 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.43E-01	5.89E-03	1.31E-02	2.08E-03	5.02E-03	1.12E-01	1.91E-03	4.02E-03
0.100	0.100	2.08E-01	6.31E-03	1.40E-02	2.08E-03	5.02E-03	9.37E-02	2.12E-03	4.51E-03
0.100	0.120	1.84E-01	6.72E-03	1.50E-02	2.08E-03	5.02E-03	8.09E-02	2.32E-03	4.97E-03
0.100	0.130	1.74E-01	6.91E-03	1.54E-02	2.08E-03	5.02E-03	7.59E-02	2.42E-03	5.20E-03
0.100	0.150	1.59E-01	7.30E-03	1.63E-02	2.08E-03	5.02E-03	6.75E-02	2.61E-03	5.65E-03
0.100	0.180	1.42E-01	7.85E-03	1.76E-02	2.08E-03	5.02E-03	5.83E-02	2.89E-03	6.30E-03
0.100	0.200	1.34E-01	8.21E-03	1.85E-02	2.08E-03	5.02E-03	5.34E-02	3.07E-03	6.72E-03
0.100	0.250	1.18E-01	9.07E-03	2.05E-02	2.08E-03	5.02E-03	4.43E-02	3.49E-03	7.73E-03
0.100	0.300	1.08E-01	9.88E-03	2.24E-02	2.08E-03	5.02E-03	3.78E-02	3.90E-03	8.67E-03
0.100	0.400	9.54E-02	1.14E-02	2.59E-02	2.08E-03	5.02E-03	2.91E-02	4.65E-03	1.04E-02
0.100	0.500	8.81E-02	1.27E-02	2.90E-02	2.08E-03	5.02E-03	2.32E-02	5.32E-03	1.20E-02
0.100	0.600	8.37E-02	1.39E-02	3.17E-02	2.08E-03	5.02E-03	1.90E-02	5.93E-03	1.33E-02
0.100	0.800	7.88E-02	1.60E-02	3.63E-02	2.08E-03	5.02E-03	1.32E-02	6.97E-03	1.57E-02
0.100	1.000	7.64E-02	1.76E-02	3.99E-02	2.08E-03	5.02E-03	9.42E-03	7.78E-03	1.74E-02
0.100	1.200	7.52E-02	1.89E-02	4.26E-02	2.08E-03	5.02E-03	6.85E-03	8.41E-03	1.88E-02
0.100	1.400	7.46E-02	1.99E-02	4.46E-02	2.08E-03	5.02E-03	5.04E-03	8.90E-03	1.98E-02
0.100	1.600	7.43E-02	2.06E-02	4.62E-02	2.08E-03	5.02E-03	3.74E-03	9.26E-03	2.06E-02
0.100	1.800	7.41E-02	2.12E-02	4.73E-02	2.08E-03	5.02E-03	2.80E-03	9.54E-03	2.12E-02
0.100	2.000	7.39E-02	2.16E-02	4.82E-02	2.08E-03	5.02E-03	2.11E-03	9.74E-03	2.16E-02
0.100	2.500	7.39E-02	2.22E-02	4.95E-02	2.08E-03	5.02E-03	1.08E-03	1.01E-02	2.22E-02
0.100	3.000	7.38E-02	2.25E-02	5.01E-02	2.08E-03	5.02E-03	5.96E-04	1.02E-02	2.26E-02
0.100	4.000	7.38E-02	2.28E-02	5.06E-02	2.08E-03	5.02E-03	2.14E-04	1.03E-02	2.28E-02
0.100	5.000	7.38E-02	2.28E-02	5.08E-02	2.08E-03	5.02E-03	1.00E-04	1.04E-02	2.29E-02
0.100	7.000	7.39E-02	2.29E-02	5.08E-02	2.08E-03	5.02E-03	6.23E-05	1.04E-02	2.29E-02
0.100	10.000	7.38E-02	2.29E-02	5.09E-02	2.08E-03	5.02E-03	1.55E-05	1.04E-02	2.29E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M7-M2 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.50E-01	4.04E-03	3.49E-02	1.61E-03	1.72E-02	1.06E-01	1.22E-03	8.86E-03
0.100	0.100	2.16E-01	4.36E-03	3.80E-02	1.61E-03	1.72E-02	8.68E-02	1.38E-03	1.04E-02
0.100	0.120	1.93E-01	4.68E-03	4.09E-02	1.61E-03	1.72E-02	7.37E-02	1.54E-03	1.18E-02
0.100	0.130	1.84E-01	4.83E-03	4.23E-02	1.61E-03	1.72E-02	6.85E-02	1.61E-03	1.25E-02
0.100	0.150	1.70E-01	5.14E-03	4.50E-02	1.61E-03	1.72E-02	6.00E-02	1.76E-03	1.39E-02
0.100	0.180	1.55E-01	5.58E-03	4.88E-02	1.61E-03	1.72E-02	5.04E-02	1.99E-03	1.58E-02
0.100	0.200	1.48E-01	5.86E-03	5.12E-02	1.61E-03	1.72E-02	4.55E-02	2.13E-03	1.70E-02
0.100	0.250	1.35E-01	6.53E-03	5.67E-02	1.61E-03	1.72E-02	3.61E-02	2.46E-03	1.97E-02
0.100	0.300	1.28E-01	7.15E-03	6.15E-02	1.61E-03	1.72E-02	2.96E-02	2.77E-03	2.21E-02
0.100	0.400	1.19E-01	8.22E-03	6.92E-02	1.61E-03	1.72E-02	2.10E-02	3.30E-03	2.60E-02
0.100	0.500	1.15E-01	9.08E-03	7.50E-02	1.61E-03	1.72E-02	1.56E-02	3.73E-03	2.89E-02
0.100	0.600	1.13E-01	9.77E-03	7.94E-02	1.61E-03	1.72E-02	1.20E-02	4.08E-03	3.11E-02
0.100	0.800	1.11E-01	1.08E-02	8.53E-02	1.61E-03	1.72E-02	7.57E-03	4.58E-03	3.41E-02
0.100	1.000	1.10E-01	1.14E-02	8.90E-02	1.61E-03	1.72E-02	5.05E-03	4.90E-03	3.59E-02
0.100	1.200	1.10E-01	1.18E-02	9.13E-02	1.61E-03	1.72E-02	3.51E-03	5.11E-03	3.71E-02
0.100	1.400	1.10E-01	1.21E-02	9.29E-02	1.61E-03	1.72E-02	2.51E-03	5.26E-03	3.78E-02
0.100	1.600	1.10E-01	1.23E-02	9.39E-02	1.61E-03	1.72E-02	1.83E-03	5.36E-03	3.84E-02
0.100	1.800	1.10E-01	1.25E-02	9.47E-02	1.61E-03	1.72E-02	1.36E-03	5.43E-03	3.87E-02
0.100	2.000	1.10E-01	1.26E-02	9.51E-02	1.61E-03	1.72E-02	1.03E-03	5.48E-03	3.90E-02
0.100	2.500	1.10E-01	1.27E-02	9.59E-02	1.61E-03	1.72E-02	5.70E-04	5.56E-03	3.94E-02
0.100	3.000	1.10E-01	1.28E-02	9.63E-02	1.61E-03	1.72E-02	3.27E-04	5.60E-03	3.95E-02
0.100	4.000	1.10E-01	1.29E-02	9.65E-02	1.61E-03	1.72E-02	1.37E-04	5.63E-03	3.97E-02
0.100	5.000	1.10E-01	1.29E-02	9.67E-02	1.61E-03	1.72E-02	8.03E-05	5.64E-03	3.97E-02
0.100	7.000	1.10E-01	1.29E-02	9.67E-02	1.61E-03	1.72E-02	4.01E-05	5.65E-03	3.98E-02
0.100	10.000	1.10E-01	1.29E-02	9.67E-02	1.61E-03	1.72E-02	1.36E-05	5.65E-03	3.98E-02
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M4-M3 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.50E-01	3.38E-02	4.88E-03	1.72E-02	2.08E-03	1.06E-01	8.29E-03	1.40E-03
0.100	0.100	2.16E-01	3.67E-02	5.30E-03	1.72E-02	2.08E-03	8.69E-02	9.76E-03	1.61E-03
0.100	0.120	1.93E-01	3.95E-02	5.71E-03	1.72E-02	2.08E-03	7.37E-02	1.11E-02	1.82E-03
0.100	0.130	1.84E-01	4.08E-02	5.91E-03	1.72E-02	2.08E-03	6.85E-02	1.18E-02	1.91E-03
0.100	0.150	1.70E-01	4.34E-02	6.30E-03	1.72E-02	2.08E-03	6.00E-02	1.31E-02	2.11E-03
0.100	0.180	1.55E-01	4.70E-02	6.87E-03	1.72E-02	2.08E-03	5.04E-02	1.49E-02	2.39E-03
0.100	0.200	1.47E-01	4.92E-02	7.23E-03	1.72E-02	2.08E-03	4.54E-02	1.60E-02	2.58E-03
0.100	0.250	1.35E-01	5.43E-02	8.12E-03	1.72E-02	2.08E-03	3.61E-02	1.85E-02	3.02E-03
0.100	0.300	1.27E-01	5.87E-02	8.92E-03	1.72E-02	2.08E-03	2.95E-02	2.07E-02	3.42E-03
0.100	0.400	1.18E-01	6.58E-02	1.03E-02	1.72E-02	2.08E-03	2.09E-02	2.43E-02	4.13E-03
0.100	0.500	1.14E-01	7.12E-02	1.15E-02	1.72E-02	2.08E-03	1.55E-02	2.70E-02	4.71E-03
0.100	0.600	1.11E-01	7.54E-02	1.24E-02	1.72E-02	2.08E-03	1.18E-02	2.91E-02	5.17E-03
0.100	0.800	1.09E-01	8.11E-02	1.37E-02	1.72E-02	2.08E-03	7.28E-03	3.19E-02	5.83E-03
0.100	1.000	1.09E-01	8.46E-02	1.46E-02	1.72E-02	2.08E-03	4.70E-03	3.37E-02	6.26E-03
0.100	1.200	1.08E-01	8.69E-02	1.51E-02	1.72E-02	2.08E-03	3.15E-03	3.49E-02	6.53E-03
0.100	1.400	1.08E-01	8.83E-02	1.55E-02	1.72E-02	2.08E-03	2.16E-03	3.56E-02	6.72E-03
0.100	1.600	1.08E-01	8.93E-02	1.58E-02	1.72E-02	2.08E-03	1.52E-03	3.61E-02	6.84E-03
0.100	1.800	1.08E-01	9.00E-02	1.59E-02	1.72E-02	2.08E-03	1.10E-03	3.64E-02	6.93E-03
0.100	2.000	1.08E-01	9.04E-02	1.60E-02	1.72E-02	2.08E-03	8.04E-04	3.66E-02	6.98E-03
0.100	2.500	1.08E-01	9.10E-02	1.62E-02	1.72E-02	2.08E-03	4.12E-04	3.69E-02	7.06E-03
0.100	3.000	1.08E-01	9.13E-02	1.63E-02	1.72E-02	2.08E-03	2.24E-04	3.71E-02	7.11E-03
0.100	4.000	1.08E-01	9.15E-02	1.63E-02	1.72E-02	2.08E-03	9.62E-05	3.71E-02	7.13E-03
0.100	5.000	1.08E-01	9.15E-02	1.63E-02	1.72E-02	2.08E-03	7.61E-05	3.72E-02	7.13E-03
0.100	7.000	1.08E-01	9.16E-02	1.64E-02	1.72E-02	2.08E-03	2.43E-05	3.72E-02	7.15E-03
0.100	10.000	1.08E-01	9.16E-02	1.63E-02	1.72E-02	2.08E-03	1.42E-05	3.72E-02	7.13E-03
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------

**************************
* Layers:	M8-M5-M3 *
**************************
Width	Spacing	Ctotal 		Cbottom		  Ctop 		Cb_area		Ct_area		 Ccoup 		  Csd  		  Csu  
 (um)	  (um) 	(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)		(fF/um)
-------	-------	--------	--------	--------	--------	--------	--------	--------	--------
0.100	0.080	2.44E-01	1.25E-02	7.64E-03	5.02E-03	2.94E-03	1.12E-01	3.74E-03	2.35E-03
0.100	0.100	2.08E-01	1.34E-02	8.21E-03	5.02E-03	2.94E-03	9.32E-02	4.20E-03	2.63E-03
0.100	0.120	1.84E-01	1.43E-02	8.76E-03	5.02E-03	2.94E-03	8.03E-02	4.65E-03	2.91E-03
0.100	0.130	1.74E-01	1.48E-02	9.03E-03	5.02E-03	2.94E-03	7.53E-02	4.87E-03	3.04E-03
0.100	0.150	1.59E-01	1.56E-02	9.55E-03	5.02E-03	2.94E-03	6.70E-02	5.30E-03	3.30E-03
0.100	0.180	1.42E-01	1.69E-02	1.03E-02	5.02E-03	2.94E-03	5.76E-02	5.91E-03	3.69E-03
0.100	0.200	1.34E-01	1.77E-02	1.08E-02	5.02E-03	2.94E-03	5.28E-02	6.32E-03	3.94E-03
0.100	0.250	1.19E-01	1.96E-02	1.20E-02	5.02E-03	2.94E-03	4.36E-02	7.27E-03	4.52E-03
0.100	0.300	1.09E-01	2.14E-02	1.31E-02	5.02E-03	2.94E-03	3.70E-02	8.17E-03	5.09E-03
0.100	0.400	9.61E-02	2.47E-02	1.52E-02	5.02E-03	2.94E-03	2.81E-02	9.82E-03	6.15E-03
0.100	0.500	8.90E-02	2.76E-02	1.71E-02	5.02E-03	2.94E-03	2.21E-02	1.13E-02	7.08E-03
0.100	0.600	8.47E-02	3.03E-02	1.88E-02	5.02E-03	2.94E-03	1.78E-02	1.26E-02	7.93E-03
0.100	0.800	8.01E-02	3.46E-02	2.16E-02	5.02E-03	2.94E-03	1.19E-02	1.48E-02	9.35E-03
